0,16
0,92
0,90
0,100
0,62
1,11
1,25
1,19
1,80
1,41
2,81
2,70
2,103
2,25
2,23
2,76
2,12
2,95
3,16
3,64
3,51
3,84
3,85
3,8
3,91
4,10
4,13
4,14
4,103
5,104
5,60
5,53
5,38
5,39
6,104
6,65
6,39
6,81
6,55
7,16
7,81
7,50
7,84
7,11
7,29
7,14
8,81
8,67
8,84
8,87
8,106
8,103
8,42
8,14
8,77
9,104
9,25
9,50
9,92
9,87
10,16
10,101
10,30
11,28
11,29
11,65
12,78
13,48
13,87
13,67
13,94
13,14
13,39
13,106
13,91
13,78
14,26
14,21
14,100
14,58
14,103
14,60
15,34
15,20
15,53
15,105
15,31
15,28
15,29
15,95
16,65
16,105
16,47
17,24
17,18
17,72
17,29
17,34
17,78
17,47
18,74
18,21
19,85
19,24
19,58
19,28
19,95
20,80
20,27
20,101
20,93
21,96
21,59
21,36
22,48
22,65
22,42
24,104
24,25
24,90
24,44
24,106
25,65
25,73
26,49
26,67
26,100
26,54
26,57
26,58
26,44
26,61
27,80
27,67
28,67
28,103
28,92
28,29
29,65
29,55
29,77
30,96
30,81
30,98
30,88
30,61
31,54
31,85
31,69
32,52
32,78
32,95
33,97
33,44
33,94
33,87
34,84
34,54
34,39
34,63
35,80
35,83
35,77
35,71
36,42
36,60
36,54
37,89
37,85
38,67
38,88
38,43
38,94
38,95
39,64
39,71
39,104
39,76
39,62
40,58
40,82
40,46
41,82
41,55
41,104
41,90
41,78
42,49
42,68
42,45
43,95
44,85
44,104
44,92
44,45
45,100
45,94
45,47
46,99
46,92
46,53
47,75
47,96
48,49
48,98
48,102
48,81
49,96
49,102
49,92
50,72
50,63
51,97
53,64
53,65
53,84
53,60
54,100
54,104
55,70
55,71
55,86
56,59
56,93
57,70
58,97
58,98
58,78
60,62
62,71
63,67
63,99
64,96
64,71
64,76
64,93
64,85
65,79
65,88
65,106
65,92
66,76
67,101
67,73
68,76
68,100
68,78
69,76
70,96
71,106
72,94
72,95
73,80
73,89
75,99
75,93
75,77
75,94
76,90
77,81
77,95
78,103
78,94
79,104
79,90
79,89
79,103
80,99
80,85
80,95
81,92
82,89
84,86
85,100
85,105
85,91
86,96
87,99
88,98
88,94
88,103
89,96
90,106
91,105
93,95
94,101
95,97
97,102
97,104
97,105
98,99
98,101
